Format,ID,Version,Count
Acrobat PDF 1.4 - Portable Document Format,fmt/18,1.4,926
Hypertext Markup Language,fmt/96,,841
Plain Text File,x-fmt/111,,838
Microsoft Word Document,fmt/40,97-2003,766
Hypertext Markup Language,fmt/100,4.01,549
JPEG File Interchange Format,fmt/43,1.01,544
Microsoft Excel 97 Workbook (xls),fmt/61,8,539
Acrobat PDF 1.3 - Portable Document Format,fmt/17,1.3,536
Microsoft Powerpoint Presentation,fmt/126,97-2003,508
Acrobat PDF 1.2 - Portable Document Format,fmt/16,1.2,411
JPEG File Interchange Format,fmt/44,1.02,406
Extensible Markup Language,fmt/101,1.0,306
Extensible Hypertext Markup Language,fmt/102,1.0,278
Hypertext Markup Language,fmt/99,4.0,251
Acrobat PDF 1.5 - Portable Document Format,fmt/19,1.5,228
,UNKNOWN,,215
Graphics Interchange Format,fmt/3,87a,213
Comma Separated Values,x-fmt/18,,188
PostScript,x-fmt/406,2.0,167
Acrobat PDF 1.6 - Portable Document Format,fmt/20,1.6,164
Graphics Interchange Format,fmt/4,89a,136
GZIP Format,x-fmt/266,,131
Log File,x-fmt/62,,108
Acrobat PDF 1.1 - Portable Document Format,fmt/15,1.1,79
JPEG File Interchange Format,fmt/42,1.00,77
PostScript,x-fmt/408,3.0,63
Hypertext Markup Language,fmt/98,3.2,51
Flexible Image Transport System,x-fmt/383,,41
Portable Network Graphics,fmt/11,1.0,39
dBASE Database,x-fmt/9,III,30
Encapsulated PostScript File Format,fmt/123,2.0,28
Microsoft Excel 4.0 Worksheet (xls),fmt/57,4S,27
Microsoft Word Document,fmt/39,6.0/95,24
Exchangeable Image File Format (Compressed),x-fmt/390,2.1,22
Keyhole Markup Language (XML),fmt/244,,21
Vector Markup Language,fmt/583,,18
Encapsulated PostScript File Format,fmt/124,3,17
Exchangeable Image File Format (Compressed),x-fmt/391,2.2,17
Microsoft Excel 5.0/95 Workbook (xls),fmt/59,5/95,17
Acrobat PDF 1.7 - Portable Document Format,fmt/276,1.7,16
ZIP Format,x-fmt/263,,14
Acrobat PDF 1.0 - Portable Document Format,fmt/14,1.0,12
Portable Network Graphics,fmt/12,1.1,11
Hypertext Markup Language,fmt/97,2.0,9
Fortran,fmt/879,,8
Microsoft Word Document Template,x-fmt/45,97-2003,8
Adobe Flash,fmt/505,8,7
Encapsulated PostScript File Format,fmt/122,1.2,6
Keyhole Markup Language (Container),fmt/724,,6
Macromedia Flash,fmt/106,3,6
Macromedia Flash,fmt/109,6,6
Adobe Illustrator,fmt/422,6.0,5
Macromedia Flash,fmt/110,7,5
Rich Text Format,fmt/45,1.0-1.4,5
Java Language Source Code File,x-fmt/422,,4
MIME Email,fmt/950,1.0,4
Microsoft Word (Generic),fmt/609,6.0-2003,4
OLE2 Compound Document Format,fmt/111,,4
Raw JPEG Stream,fmt/41,,4
Rich Text Format,fmt/50,1.5-1.6,4
Structured Query Language Data,fmt/206,,4
TEI P4 XML - Single Text File,fmt/1474,P4,4
LaTeX (Subdocument),fmt/281,,3
Macromedia Flash,fmt/107,4,3
Macromedia Flash,fmt/108,5,3
Microsoft PowerPoint Presentation,x-fmt/88,4.x,3
Microsoft Powerpoint Presentation,fmt/125,95,3
Acrobat PDF/A - Portable Document Format,fmt/354,1b,2
Adobe Illustrator,fmt/423,7.0,2
Exchangeable Image File Format (Compressed),fmt/645,2.21,2
MacBinary,fmt/1762,II,2
Macromedia Flash,fmt/104,1,2
Microsoft Powerpoint for Windows,fmt/215,2007 onwards,2
Microsoft Word for Windows,fmt/412,2007 onwards,2
Microsoft Word for Windows Document,fmt/38,2.0,2
Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,fmt/157,,1
Acrobat PDF/X - Portable Document Format - Exchange 1a:2003,fmt/146,,1
Adobe Flash,fmt/506,9,1
Adobe FrameMaker Document,fmt/190,5.0,1
Adobe Illustrator,fmt/420,5.0 / 5.5,1
Adobe Illustrator,fmt/557,8.0,1
Archiver Format,fmt/1835,,1
AutoCAD Design Web Format,x-fmt/49,6.0,1
AutoCAD Drawing,fmt/32,R11/12,1
BibTeX Database File,fmt/1616,,1
ESRI Arc/Info Export File,x-fmt/226,,1
Exchangeable Image File Format (Compressed),x-fmt/398,2.0,1
Extensible Hypertext Markup Language,fmt/103,1.1,1
Log ASCII Standard Format,fmt/390,2.0,1
Microsoft Excel Template,x-fmt/17,97-2003,1
Microsoft Excel for Windows,fmt/214,2007 onwards,1
Microsoft Front Page Server Extension Configuration,fmt/288,,1
Microsoft Office File List,fmt/1677,,1
Microsoft Word for Macintosh Document,x-fmt/65,5.0,1
Rich Text Format,fmt/969,0,1
Standard Generalized Markup Language,x-fmt/195,,1
Wavefront OBJ File,fmt/1210,,1
WordPerfect for MS-DOS/Windows Document,x-fmt/394,5.1,1
WordPerfect for MS-DOS/Windows Document,x-fmt/44,6.x,1
XML Property List,fmt/979,,1
