Format,ID,Count
Hypertext Markup Language,fmt/96,1701
JPEG File Interchange Format,fmt/42,1027
Acrobat PDF 1.4 - Portable Document Format,fmt/18,926
Plain Text File,x-fmt/111,838
Microsoft Word Document,fmt/40,790
Microsoft Excel 97 Workbook (xls),fmt/61,539
Acrobat PDF 1.3 - Portable Document Format,fmt/17,536
Microsoft Powerpoint Presentation,fmt/126,511
Acrobat PDF 1.2 - Portable Document Format,fmt/16,411
Graphics Interchange Format,fmt/4,349
Extensible Markup Language,fmt/101,306
Extensible Hypertext Markup Language,fmt/102,279
PostScript,x-fmt/406,230
Acrobat PDF 1.5 - Portable Document Format,fmt/19,228
,UNKNOWN,215
Comma Separated Values,x-fmt/18,188
Acrobat PDF 1.6 - Portable Document Format,fmt/20,164
GZIP Format,x-fmt/266,131
Log File,x-fmt/62,108
Acrobat PDF 1.1 - Portable Document Format,fmt/15,79
Encapsulated PostScript File Format,fmt/122,51
Portable Network Graphics,fmt/11,50
Exchangeable Image File Format (Compressed),fmt/645,42
Flexible Image Transport System,x-fmt/383,41
dBASE Database,x-fmt/9,30
Microsoft Excel 4.0 Worksheet (xls),fmt/57,27
Macromedia Flash,fmt/110,25
Keyhole Markup Language (XML),fmt/244,21
Vector Markup Language,fmt/583,18
Microsoft Excel 5.0/95 Workbook (xls),fmt/59,17
Acrobat PDF 1.7 - Portable Document Format,fmt/276,16
ZIP Format,x-fmt/263,14
Acrobat PDF 1.0 - Portable Document Format,fmt/14,12
Rich Text Format,fmt/50,10
Adobe Illustrator,fmt/423,9
Microsoft Word Document Template,x-fmt/45,8
Fortran,fmt/879,8
Adobe Flash,fmt/505,8
Keyhole Markup Language (Container),fmt/724,6
TEI P4 XML - Single Text File,fmt/1474,4
Structured Query Language Data,fmt/206,4
Raw JPEG Stream,fmt/41,4
OLE2 Compound Document Format,fmt/111,4
Microsoft Word (Generic),fmt/609,4
MIME Email,fmt/950,4
Java Language Source Code File,x-fmt/422,4
Microsoft PowerPoint Presentation,x-fmt/88,3
LaTeX (Subdocument),fmt/281,3
WordPerfect for MS-DOS/Windows Document,x-fmt/394,2
Microsoft Word for Windows Document,fmt/38,2
Microsoft Word for Windows,fmt/412,2
Microsoft Powerpoint for Windows,fmt/215,2
MacBinary,fmt/1762,2
Acrobat PDF/A - Portable Document Format,fmt/354,2
XML Property List,fmt/979,1
Wavefront OBJ File,fmt/1210,1
Standard Generalized Markup Language,x-fmt/195,1
Microsoft Word for Macintosh Document,x-fmt/65,1
Microsoft Office File List,fmt/1677,1
Microsoft Front Page Server Extension Configuration,fmt/288,1
Microsoft Excel for Windows,fmt/214,1
Microsoft Excel Template,x-fmt/17,1
Log ASCII Standard Format,fmt/390,1
ESRI Arc/Info Export File,x-fmt/226,1
BibTeX Database File,fmt/1616,1
AutoCAD Drawing,fmt/32,1
AutoCAD Design Web Format,x-fmt/49,1
Archiver Format,fmt/1835,1
Adobe FrameMaker Document,fmt/190,1
Acrobat PDF/X - Portable Document Format - Exchange 1a:2003,fmt/146,1
Acrobat PDF/X - Portable Document Format - Exchange 1a:2001,fmt/157,1
