filename,filesize,modified,errors,md5,namespace,id,format,version,mime,class,basis,warning
X:\school\data\Govdocs1-threads\000\000233.gif,120908,2002-07-03T10:34:08-04:00,,0c3800f7b68ba3a0da745c74d67767d2,pronom,fmt/4,Graphics Interchange Format,89a,image/gif,Image (Raster),extension match gif; byte match at [[0 6] [120907 1]],
X:\school\data\Govdocs1-threads\000\000394.xls,21504,2004-12-12T20:19:16-05:00,,5335ea432d7f34bb65315c160e4c755b,pronom,fmt/61,Microsoft Excel 97 Workbook (xls),8,application/vnd.ms-excel,Spreadsheet,"extension match xls; container name Workbook with byte match at 0, 8 (signature 1/2)",
X:\school\data\Govdocs1-threads\000\000578.pdf,351558,2008-10-14T14:55:38-04:00,,24ca2aa477ff675faad61d8d34b8e8e1,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [351551 5]],
X:\school\data\Govdocs1-threads\000\000606.pdf,9910,2004-06-21T09:22:28-04:00,,20298adf417604adcde4ce1618c35e20,pronom,fmt/16,Acrobat PDF 1.2 - Portable Document Format,1.2,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [9903 5]],
X:\school\data\Govdocs1-threads\000\000641.txt,2867,2007-09-13T17:08:10-04:00,,6aad8f818c1a2b099117cc0930b31b08,pronom,x-fmt/111,Plain Text File,,text/plain,,extension match txt; text match ASCII,
X:\school\data\Govdocs1-threads\000\000688.gif,3843,2002-06-28T19:43:50-04:00,,964ab72c990e3137fbfe751a37cbe413,pronom,fmt/4,Graphics Interchange Format,89a,image/gif,Image (Raster),extension match gif; byte match at [[0 6] [3842 1]],
X:\school\data\Govdocs1-threads\000\000749.html,63175,2009-03-17T18:38:16-04:00,,88b8c3d51fb8a8037ca215820c735eac,pronom,fmt/96,Hypertext Markup Language,,text/html,Text (Mark-up),extension match html; byte match at [[119 5] [63167 7]] (signature 1/2),
X:\school\data\Govdocs1-threads\000\000760.pdf,59141,2008-05-06T14:04:18-04:00,,03102ceabc86972f6bf9fe527e4dadfe,pronom,fmt/17,Acrobat PDF 1.3 - Portable Document Format,1.3,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [59135 5]],
X:\school\data\Govdocs1-threads\000\000816.pdf,43914,2004-04-08T13:58:23-04:00,,083bd854ee9360f688503172fac7d91b,pronom,fmt/19,Acrobat PDF 1.5 - Portable Document Format,1.5,application/pdf,Page Description,extension match pdf; byte match at [[0 8] [43907 5]],
X:\school\data\Govdocs1-threads\000\000870.jpg,145826,2004-01-28T22:20:40-05:00,,dc3f9188970393de7af4a0f4526e4e56,pronom,fmt/42,JPEG File Interchange Format,1.00,image/jpeg,Image (Raster),extension match jpg; byte match at [[0 14] [145824 2]],
