name,path,bytes,bytes_humanized,modified,mod_year,extension,category,mimetype,folder1,folder2
837083.jpg,\837,126197,126.2 kB,2007-08-04T00:09:11,2007,jpg,image,image/jpeg,\837,.
837352.gif,\837,10222,10.2 kB,2001-07-12T06:21:07,2001,gif,image,image/gif,\837,.
837447.jpg,\837,1007134,1.0 MB,2002-10-24T10:37:46,2002,jpg,image,image/jpeg,\837,.
837467.jpg,\837,6654,6.7 kB,2005-06-08T15:26:33,2005,jpg,image,image/jpeg,\837,.
837565.jpg,\837,1545812,1.5 MB,2001-07-12T02:52:52,2001,jpg,image,image/jpeg,\837,.
837802.pdf,\837,27067,27.1 kB,2009-02-18T19:41:58,2009,pdf,application,application/pdf,\837,.
837875.html,\837,7334,7.3 kB,2009-02-24T01:59:48,2009,html,text,text/html,\837,.
837920.pdf,\837,365766,365.8 kB,2006-02-13T15:59:12,2006,pdf,application,application/pdf,\837,.
837957.jpg,\837,99460,99.5 kB,2005-08-08T05:20:04,2005,jpg,image,image/jpeg,\837,.
840017.gif,\840,10224,10.2 kB,1998-02-17T16:19:07,1998,gif,image,image/gif,\840,.
840068.html,\840,1154,1.2 kB,2007-06-28T00:00:00,2007,html,text,text/html,\840,.
840240.jpg,\840,969520,969.5 kB,1999-11-15T13:01:48,1999,jpg,image,image/jpeg,\840,.
840277.csv,\840,14667,14.7 kB,2007-09-25T12:21:48,2007,csv,application,application/vnd.ms-excel,\840,.
840305.ppt,\840,234496,234.5 kB,2008-06-04T13:20:34,2008,ppt,application,application/vnd.ms-powerpoint,\840,.
840310.txt,\840,78847,78.8 kB,2000-04-04T09:45:48,2000,txt,text,text/plain,\840,.
840391.jpg,\840,75984,76.0 kB,2004-12-08T21:33:43,2004,jpg,image,image/jpeg,\840,.
840393.jpg,\840,646714,646.7 kB,2005-12-05T02:49:53,2005,jpg,image,image/jpeg,\840,.
840480.html,\840,2188,2.2 kB,2009-03-16T09:19:48,2009,html,text,text/html,\840,.
840483.pdf,\840,1188623,1.2 MB,2007-12-26T00:02:21,2007,pdf,application,application/pdf,\840,.
840516.gif,\840,3871,3.9 kB,2004-10-06T11:04:17,2004,gif,image,image/gif,\840,.
840535.gif,\840,14384,14.4 kB,2007-02-05T16:04:33,2007,gif,image,image/gif,\840,.
840589.pdf,\840,143066,143.1 kB,2006-09-07T16:52:11,2006,pdf,application,application/pdf,\840,.
840734.pdf,\840,45022,45.0 kB,2003-06-19T11:40:42,2003,pdf,application,application/pdf,\840,.
840737.pdf,\840,41720,41.7 kB,2009-02-19T05:10:24,2009,pdf,application,application/pdf,\840,.
840765.gz,\840,285923,285.9 kB,2004-09-25T01:11:48,2004,gz,application,application/octet-stream,\840,.
840768.jpg,\840,101705,101.7 kB,2000-12-23T06:59:06,2000,jpg,image,image/jpeg,\840,.
840795.jpg,\840,24809,24.8 kB,1996-11-21T07:40:38,1996,jpg,image,image/jpeg,\840,.
840877.dbase3,\840,1142,1.1 kB,2007-01-04T18:18:08,2007,dbase3,application,application/octet-stream,\840,.
840906.jpg,\840,125726,125.7 kB,1998-08-21T17:07:38,1998,jpg,image,image/jpeg,\840,.
560098.html,\560,162258,162.3 kB,2005-09-26T12:57:54,2005,html,text,text/html,\560,.
560169.xml,\560,7322,7.3 kB,2009-01-16T11:31:50,2009,xml,text,text/xml,\560,.
560170.html,\560,13230,13.2 kB,2003-07-24T12:59:38,2003,html,text,text/html,\560,.
560190.xml,\560,5839,5.8 kB,2009-01-16T11:32:09,2009,xml,text,text/xml,\560,.
560236.html,\560,24941,24.9 kB,2009-02-17T04:50:25,2009,html,text,text/html,\560,.
560254.xml,\560,22082,22.1 kB,2009-02-17T04:50:30,2009,xml,text,text/xml,\560,.
560322.xml,\560,15909,15.9 kB,2005-03-17T11:50:22,2005,xml,text,text/xml,\560,.
560344.txt,\560,19441,19.4 kB,2008-09-18T16:34:40,2008,txt,text,text/plain,\560,.
560354.pdf,\560,23227,23.2 kB,2006-08-11T07:22:24,2006,pdf,application,application/pdf,\560,.
560630.html,\560,54913,54.9 kB,2009-03-15T23:50:21,2009,html,text,text/html,\560,.
560639.html,\560,72561,72.6 kB,2009-03-15T23:50:22,2009,html,text,text/html,\560,.
560730.xml,\560,4169,4.2 kB,2009-02-17T04:51:40,2009,xml,text,text/xml,\560,.
560756.html,\560,31613,31.6 kB,2009-02-23T06:59:54,2009,html,text,text/html,\560,.
