name,path,bytes,modified,mod_year,extension,category,mimetype,folder1,folder2
spmjc108.txt,Copps/2001,21483,2016-04-06T19:23:18,2016,txt,text,text/plain,Copps,2001
spmjc101.txt,Copps/2001,1996,2016-04-06T19:23:16,2016,txt,text,text/plain,Copps,2001
spmjc106.txt,Copps/2001,15814,2016-04-06T19:23:17,2016,txt,text,text/plain,Copps,2001
spmjc107.html,Copps/2001,16333,2016-04-06T19:23:17,2016,html,text,text/html,Copps,2001
spmjc103.doc,Copps/2001,35840,2016-04-06T19:23:17,2016,doc,application,application/msword,Copps,2001
spmjc104.doc,Copps/2001,34816,2016-04-06T19:23:17,2016,doc,application,application/msword,Copps,2001
spmjc103.html,Copps/2001,14019,2016-04-06T19:23:17,2016,html,text,text/html,Copps,2001
spmjc107.txt,Copps/2001,15802,2016-04-06T19:23:17,2016,txt,text,text/plain,Copps,2001
spmjc106.html,Copps/2001,16433,2016-04-06T19:23:17,2016,html,text,text/html,Copps,2001
spmjc102.html,Copps/2001,17076,2016-04-06T19:23:16,2016,html,text,text/html,Copps,2001
spmjc105.doc,Copps/2001,46592,2016-04-06T19:23:17,2016,doc,application,application/msword,Copps,2001
spmjc102.doc,Copps/2001,44032,2016-04-06T19:23:16,2016,doc,application,application/msword,Copps,2001
spmjc105.pdf,Copps/2001,112653,2016-04-06T19:23:17,2016,pdf,application,application/pdf,Copps,2001
spmjc104.html,Copps/2001,11635,2016-04-06T19:23:17,2016,html,text,text/html,Copps,2001
spmjc101.doc,Copps/2001,21504,2016-04-06T19:23:16,2016,doc,application,application/msword,Copps,2001
spmjc106.doc,Copps/2001,38400,2016-04-06T19:23:17,2016,doc,application,application/msword,Copps,2001
spmjc108.pdf,Copps/2001,134236,2016-04-06T19:23:18,2016,pdf,application,application/pdf,Copps,2001
spmjc108.doc,Copps/2001,50688,2016-04-06T19:23:18,2016,doc,application,application/msword,Copps,2001
spmjc106.pdf,Copps/2001,23312,2016-04-06T19:23:17,2016,pdf,application,application/pdf,Copps,2001
spmjc103.txt,Copps/2001,13527,2016-04-06T19:23:17,2016,txt,text,text/plain,Copps,2001
spmjc104.txt,Copps/2001,11369,2016-04-06T19:23:17,2016,txt,text,text/plain,Copps,2001
spmjc108.html,Copps/2001,22411,2016-04-06T19:23:18,2016,html,text,text/html,Copps,2001
