date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:06	4096/4096	---M--	404	error ('Not%20found')	text/html	date:Wed,%2004%20Feb%202009%2016:46:27%20GMT	http://www.bop.gov/robots.txt		(from )
12:17:11	18809/18809	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:46:28%20GMT	http://www.bop.gov/about/organization.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/organization.html	(from )
12:17:16	17486/17486	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:46:36%20GMT	http://www.bop.gov/about/ro/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/index.html	(from http://www.bop.gov/about/organization.jsp)
12:17:20	20819/20819	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:46:40%20GMT	http://www.bop.gov/about/co/director_bio.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio.html	(from http://www.bop.gov/about/organization.jsp)
12:17:23	15768/15768	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:46:43%20GMT	http://www.bop.gov/about/co/admin.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/admin.html	(from http://www.bop.gov/about/organization.jsp)
12:17:26	17610/17610	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:46:46%20GMT	http://www.bop.gov/about/co/director_bio_admin.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_admin.html	(from http://www.bop.gov/about/organization.jsp)
12:17:33	15901/15901	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:46:49%20GMT	http://www.bop.gov/about/co/programs/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/programs/index.html	(from http://www.bop.gov/about/organization.jsp)
12:17:36	18680/18680	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:46:56%20GMT	http://www.bop.gov/about/co/director_bio_programs.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_programs.html	(from http://www.bop.gov/about/organization.jsp)
12:17:39	16191/16191	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:46:59%20GMT	http://www.bop.gov/about/co/health_services.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/health_services.html	(from http://www.bop.gov/about/organization.jsp)
12:18:04	16485/16485	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:47:24%20GMT	http://www.bop.gov/about/co/human_resource.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/human_resource.html	(from http://www.bop.gov/about/organization.jsp)
12:18:08	17879/17879	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:47:27%20GMT	http://www.bop.gov/about/co/director_bio_hrmd.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_hrmd.html	(from http://www.bop.gov/about/organization.jsp)
12:18:11	17091/17091	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:47:31%20GMT	http://www.bop.gov/about/co/ind_ed_train.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/ind_ed_train.html	(from http://www.bop.gov/about/organization.jsp)
12:18:19	17434/17434	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:47:34%20GMT	http://www.bop.gov/about/co/director_bio_ievt.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_ievt.html	(from http://www.bop.gov/about/organization.jsp)
12:18:22	16696/16696	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:47:42%20GMT	http://www.bop.gov/about/co/ippa.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/ippa.html	(from http://www.bop.gov/about/organization.jsp)
12:18:26	17166/17166	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:47:46%20GMT	http://www.bop.gov/about/co/director_bio_ippa.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_ippa.html	(from http://www.bop.gov/about/organization.jsp)
12:18:29	16420/16420	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:47:49%20GMT	http://www.bop.gov/about/co/nic.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/nic.html	(from http://www.bop.gov/about/organization.jsp)
12:18:33	16882/16882	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:47:52%20GMT	http://www.bop.gov/about/co/director_bio_nic.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_nic.html	(from http://www.bop.gov/about/organization.jsp)
12:18:45	16586/16586	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:48:05%20GMT	http://www.bop.gov/about/co/ogc.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/ogc.html	(from http://www.bop.gov/about/organization.jsp)
12:18:53	16743/16743	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:48:08%20GMT	http://www.bop.gov/about/co/director_bio_ogc.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_ogc.html	(from http://www.bop.gov/about/organization.jsp)
12:18:59	17144/17144	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:48:19%20GMT	http://www.bop.gov/about/co/program_review.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/program_review.html	(from http://www.bop.gov/about/organization.jsp)
12:19:02	17107/17107	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:48:22%20GMT	http://www.bop.gov/about/co/director_bio_prd.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_prd.html	(from http://www.bop.gov/about/organization.jsp)
12:19:06	16467/16467	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:48:25%20GMT	http://www.bop.gov/about/ro/mxr/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/mxr/index.html	(from http://www.bop.gov/about/organization.jsp)
12:19:09	16616/16616	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:48:29%20GMT	http://www.bop.gov/about/ro/bios/mxr.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/bios/mxr.html	(from http://www.bop.gov/about/organization.jsp)
12:19:12	16426/16426	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:48:32%20GMT	http://www.bop.gov/about/ro/ncr/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/ncr/index.html	(from http://www.bop.gov/about/organization.jsp)
12:19:15	17221/17221	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:48:35%20GMT	http://www.bop.gov/about/ro/bios/ncr.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/bios/ncr.html	(from http://www.bop.gov/about/organization.jsp)
12:19:19	16337/16337	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:48:38%20GMT	http://www.bop.gov/about/ro/ner/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/ner/index.html	(from http://www.bop.gov/about/organization.jsp)
12:19:23	15885/15885	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:48:42%20GMT	http://www.bop.gov/about/ro/bios/ner.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/bios/ner.html	(from http://www.bop.gov/about/organization.jsp)
