date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:25	4096/4096	---M--	404	error ('Not%20found')	text/html	date:Wed,%2004%20Feb%202009%2016:40:46%20GMT	http://www.bop.gov/robots.txt		(from )
12:11:30	18809/18809	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:40:49%20GMT	http://www.bop.gov/about/organization.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/organization.html	(from )
12:11:34	17486/17486	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:40:53%20GMT	http://www.bop.gov/about/ro/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/index.html	(from )
12:11:40	16467/16467	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:40:54%20GMT	http://www.bop.gov/about/ro/mxr/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/mxr/index.html	(from )
12:11:45	16616/16616	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:03%20GMT	http://www.bop.gov/about/ro/bios/mxr.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/bios/mxr.html	(from )
12:11:49	16426/16426	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:06%20GMT	http://www.bop.gov/about/ro/ncr/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/ncr/index.html	(from )
12:11:53	17221/17221	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:09%20GMT	http://www.bop.gov/about/ro/bios/ncr.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/bios/ncr.html	(from )
12:11:56	16337/16337	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:13%20GMT	http://www.bop.gov/about/ro/ner/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/ner/index.html	(from )
12:12:02	15885/15885	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:15%20GMT	http://www.bop.gov/about/ro/bios/ner.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/bios/ner.html	(from )
12:12:03	16421/16421	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:17%20GMT	http://www.bop.gov/about/ro/scr/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/scr/index.html	(from )
12:12:08	15834/15834	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:23%20GMT	http://www.bop.gov/about/ro/bios/scr.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/bios/scr.html	(from )
12:12:10	16310/16310	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:28%20GMT	http://www.bop.gov/about/ro/ser/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/ser/index.html	(from )
12:12:16	16736/16736	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:29%20GMT	http://www.bop.gov/about/ro/bios/ser.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/bios/ser.html	(from )
12:12:20	16586/16586	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:36%20GMT	http://www.bop.gov/about/ro/wxr/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/wxr/index.html	(from )
12:12:24	16659/16659	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:38%20GMT	http://www.bop.gov/about/ro/bios/wxr.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/bios/wxr.html	(from )
12:12:26	16593/16593	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:44%20GMT	http://www.bop.gov/about/co/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/index.html	(from http://www.bop.gov/about/organization.jsp)
12:12:50	20819/20819	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:41:54%20GMT	http://www.bop.gov/about/co/director_bio.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio.html	(from http://www.bop.gov/about/organization.jsp)
12:12:55	15768/15768	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:14%20GMT	http://www.bop.gov/about/co/admin.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/admin.html	(from http://www.bop.gov/about/organization.jsp)
12:12:58	17610/17610	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:18%20GMT	http://www.bop.gov/about/co/director_bio_admin.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_admin.html	(from http://www.bop.gov/about/organization.jsp)
12:13:01	15901/15901	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:21%20GMT	http://www.bop.gov/about/co/programs/index.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/programs/index.html	(from http://www.bop.gov/about/organization.jsp)
12:13:05	18680/18680	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:24%20GMT	http://www.bop.gov/about/co/director_bio_programs.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_programs.html	(from http://www.bop.gov/about/organization.jsp)
12:13:09	16191/16191	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:28%20GMT	http://www.bop.gov/about/co/health_services.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/health_services.html	(from http://www.bop.gov/about/organization.jsp)
12:13:14	16485/16485	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:32%20GMT	http://www.bop.gov/about/co/human_resource.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/human_resource.html	(from http://www.bop.gov/about/organization.jsp)
12:13:17	17879/17879	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:37%20GMT	http://www.bop.gov/about/co/director_bio_hrmd.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_hrmd.html	(from http://www.bop.gov/about/organization.jsp)
12:13:20	17091/17091	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:40%20GMT	http://www.bop.gov/about/co/ind_ed_train.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/ind_ed_train.html	(from http://www.bop.gov/about/organization.jsp)
12:13:24	17434/17434	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:44%20GMT	http://www.bop.gov/about/co/director_bio_ievt.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_ievt.html	(from http://www.bop.gov/about/organization.jsp)
12:13:28	16696/16696	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:46%20GMT	http://www.bop.gov/about/co/ippa.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/ippa.html	(from http://www.bop.gov/about/organization.jsp)
12:13:41	17166/17166	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:42:51%20GMT	http://www.bop.gov/about/co/director_bio_ippa.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_ippa.html	(from http://www.bop.gov/about/organization.jsp)
12:13:44	16420/16420	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:43:03%20GMT	http://www.bop.gov/about/co/nic.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/nic.html	(from http://www.bop.gov/about/organization.jsp)
12:13:47	16882/16882	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:43:07%20GMT	http://www.bop.gov/about/co/director_bio_nic.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_nic.html	(from http://www.bop.gov/about/organization.jsp)
12:13:53	16586/16586	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:43:13%20GMT	http://www.bop.gov/about/co/ogc.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/ogc.html	(from http://www.bop.gov/about/organization.jsp)
12:14:02	16743/16743	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:43:19%20GMT	http://www.bop.gov/about/co/director_bio_ogc.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_ogc.html	(from http://www.bop.gov/about/organization.jsp)
12:14:08	17144/17144	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:43:28%20GMT	http://www.bop.gov/about/co/program_review.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/program_review.html	(from http://www.bop.gov/about/organization.jsp)
12:14:15	17107/17107	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:43:34%20GMT	http://www.bop.gov/about/co/director_bio_prd.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_prd.html	(from http://www.bop.gov/about/organization.jsp)
12:14:24	26995/26995	---M--	200	added ('OK')	image/jpeg	etag:%226973-47164997%22	http://www.bop.gov/about/ro/graphics/MXR.jpg	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/graphics/MXR.jpg	(from http://www.bop.gov/about/organization.jsp)
12:14:33	20225/20225	---M--	200	added ('OK')	image/jpeg	etag:%224f01-487f4b25%22	http://www.bop.gov/about/ro/graphics/NCR.jpg	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/graphics/NCR.jpg	(from http://www.bop.gov/about/organization.jsp)
12:14:38	21248/21248	---M--	200	added ('OK')	image/jpeg	etag:%225300-487f4b25%22	http://www.bop.gov/about/ro/graphics/NER.jpg	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/graphics/NER.jpg	(from http://www.bop.gov/about/organization.jsp)
12:14:53	20859/20859	---M--	200	added ('OK')	image/jpeg	etag:%22517b-487f4b25%22	http://www.bop.gov/about/ro/graphics/SCR.jpg	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/graphics/SCR.jpg	(from http://www.bop.gov/about/organization.jsp)
12:14:58	23116/23116	---M--	200	added ('OK')	image/jpeg	etag:%225a4c-487f4b25%22	http://www.bop.gov/about/ro/graphics/SER.jpg	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/graphics/SER.jpg	(from http://www.bop.gov/about/organization.jsp)
12:15:05	8385/8385	---M--	200	added ('OK')	image/jpeg	etag:%2220c1-48404686%22	http://www.bop.gov/about/ro/graphics/WXR.jpg	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/ro/graphics/WXR.jpg	(from http://www.bop.gov/about/organization.jsp)
12:15:11	16871/16871	U--MC-	200	updated ('OK')	text/html	date:Wed,%2004%20Feb%202009%2016:44:31%20GMT	http://www.bop.gov/about/co/director_bio_hsd.jsp	L:/Nikki/Bureau%20of%20Prisons/BOP-%20Org%20Chart%202-4-09/www.bop.gov/about/co/director_bio_hsd.html	(from http://www.bop.gov/about/co/health_services.jsp)
