date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:22	29710/29710	---MC-	200	added ('OK')	text/html	date:Mon,%2019%20May%202008%2014:30:37%20GMT	http://www.bop.gov/about/organization.jsp	T:/Brandon/Bureau%20of%20Prisons/BOP%20org%20charts/www.bop.gov/about/organization.html	(from )
10:32:30	4096/4096	---M--	404	error ('Not%20found')	text/html	date:Mon,%2019%20May%202008%2014:30:40%20GMT	http://www.bop.gov/robots.txt		(from )
10:32:37	7978/7978	---M--	200	added ('OK')	text/css	etag:%221f2a-42091778%22	http://www.bop.gov/common/styles/new_bop_style.css	T:/Brandon/Bureau%20of%20Prisons/BOP%20org%20charts/www.bop.gov/common/styles/new_bop_style.css	(from )
10:32:43	2119/2119	---M--	200	added ('OK')	text/css	etag:%22847-4315c7f3%22	http://www.bop.gov/common/styles/org_chart_style.css	T:/Brandon/Bureau%20of%20Prisons/BOP%20org%20charts/www.bop.gov/common/styles/org_chart_style.css	(from )
10:32:48	6039/6039	---M--	200	added ('OK')	text/css	etag:%221797-422358a9%22	http://www.bop.gov/common/styles/bop_style_printfriendly.css	T:/Brandon/Bureau%20of%20Prisons/BOP%20org%20charts/www.bop.gov/common/styles/bop_style_printfriendly.css	(from )
10:32:57	1462/1462	---M--	200	added ('OK')	image/gif	etag:%225b6-41619ad0%22	http://www.bop.gov/webimages/public/header/usdoj-over.gif	T:/Brandon/Bureau%20of%20Prisons/BOP%20org%20charts/www.bop.gov/webimages/public/header/usdoj-over.gif	(from )
10:33:01	463/463	---M--	200	added ('OK')	image/gif	etag:%221cf-41619ad0%22	http://www.bop.gov/webimages/public/header/top_right_end-usdoj_over.gif	T:/Brandon/Bureau%20of%20Prisons/BOP%20org%20charts/www.bop.gov/webimages/public/header/top_right_end-usdoj_over.gif	(from )
10:33:03	403/403	---M--	200	added ('OK')	image/gif	etag:%22193-41619ace%22	http://www.bop.gov/webimages/public/header/about-over.gif	T:/Brandon/Bureau%20of%20Prisons/BOP%20org%20charts/www.bop.gov/webimages/public/header/about-over.gif	(from )
10:33:08	439/439	---M--	200	added ('OK')	image/gif	etag:%221b7-41619acd%22	http://www.bop.gov/webimages/public/header/about-locator_over.gif	T:/Brandon/Bureau%20of%20Prisons/BOP%20org%20charts/www.bop.gov/webimages/public/header/about-locator_over.gif	(from )
10:33:10	540/540	---M--	200	added ('OK')	image/gif	etag:%2221c-41619acf%22	http://www.bop.gov/webimages/public/header/locator-over.gif	T:/Brandon/Bureau%20of%20Prisons/BOP%20org%20charts/www.bop.gov/webimages/public/header/locator-over.gif	(from )
